glucose,hormone,pct_b,pct_s,ir
23.9,258,43.8,1.9,52.631578947368425
23.9,272,46.4,1.8,55.55555555555556
23.9,286,49.0,1.7,58.82352941176471
23.9,300,51.6,1.6,62.5
25.0,20,3.2,3.4,29.411764705882355
25.0,34,5.2,2.0,50.0
25.0,48,7.2,1.4,71.42857142857143
25.0,62,9.3,1.1,90.9090909090909
25.0,76,11.5,0.9,111.11111111111111
25.0,90,13.7,0.8,125.0
25.0,104,16.0,0.7,142.85714285714286
25.0,118,18.3,0.6,166.66666666666669
25.0,132,20.6,0.5,200.0
25.0,146,23.0,0.5,200.0
25.0,160,25.4,0.5,200.0
25.0,174,27.9,0.4,250.0
25.0,188,30.3,0.4,250.0
25.0,202,32.8,0.4,250.0
25.0,216,35.3,0.4,250.0
25.0,230,37.9,0.3,333.33333333333337
25.0,244,40.4,0.3,333.33333333333337
25.0,258,43.0,0.3,333.33333333333337
25.0,272,45.6,0.3,333.33333333333337
25.0,286,48.1,0.3,333.33333333333337
25.0,300,50.7,0.3,333.33333333333337
